lemma,form,paradigm_slot
da-çikandin,da-çikandinê,"V;V.MSDR;ACC"
pêk-hatin,pêk-hatinê,"V;V.MSDR;ACC"
hevedudanîn,hevedudanînê,"V;V.MSDR;ACC"
gijgijîn,gijgijînê,"V;V.MSDR;ACC"
da-dan,da-danê,"V;V.MSDR;ACC"
hil-kêþan,hil-kêþanê,"V;V.MSDR;ACC"
xapîn,xapînê,"V;V.MSDR;ACC"
hil-bijartin,hil-bijartinê,"V;V.MSDR;ACC"
revandin,revandinê,"V;V.MSDR;ACC"
hez kirin,hez kirinê,"V;V.MSDR;ACC"
da-hûrandin,da-hûrandinê,"V;V.MSDR;ACC"
hejandin,hejandinê,"V;V.MSDR;ACC"
civîn,civînê,"V;V.MSDR;ACC"
reyan,reyanê,"V;V.MSDR;ACC"
da-anîn,da-anînê,"V;V.MSDR;ACC"
girê-dan,girê-danê,"V;V.MSDR;ACC"
qulibîn,qulibînê,"V;V.MSDR;ACC"
rakirin,rakirinê,"V;V.MSDR;ACC"
barîn/barîkiyan,barîn/barîkiyanê,"V;V.MSDR;ACC"
fed-kirin,fed-kirinê,"V;V.MSDR;ACC"
ba-dan,ba-danê,"V;V.MSDR;ACC"
barandin,barandinê,"V;V.MSDR;ACC"
guharîn,guharînê,"V;V.MSDR;ACC"
fikirîn,fikirînê,"V;V.MSDR;ACC"
ketin,ketinê,"V;V.MSDR;ACC"
der-anîn,der-anînê,"V;V.MSDR;ACC"
alandin,alandinê,"V;V.MSDR;ACC"
zivirîn,zivirînê,"V;V.MSDR;ACC"
þewitîn,þewitînê,"V;V.MSDR;ACC"
qîjiyan,qîjiyanê,"V;V.MSDR;ACC"
sûstin,sûstinê,"V;V.MSDR;ACC"
ceribandin,ceribandinê,"V;V.MSDR;ACC"
givîn,givînê,"V;V.MSDR;ACC"
nivîsandin,nivîsandinê,"V;V.MSDR;ACC"
da-gerandin,da-gerandinê,"V;V.MSDR;ACC"
da-liqiyan,da-liqiyanê,"V;V.MSDR;ACC"
lûrîn,lûrînê,"V;V.MSDR;ACC"
tê-ketin,tê-ketinê,"V;V.MSDR;ACC"
rabûn,rabûnê,"V;V.MSDR;ACC"
kenîn,kenînê,"V;V.MSDR;ACC"
hil-ketin,hil-ketinê,"V;V.MSDR;ACC"
ve-xwarin,ve-xwarinê,"V;V.MSDR;ACC"
þiqitîn,þiqitînê,"V;V.MSDR;ACC"
þuxulandin,þuxulandinê,"V;V.MSDR;ACC"
xemilandin,xemilandinê,"V;V.MSDR;ACC"
rikrikîn,rikrikînê,"V;V.MSDR;ACC"
ber-dan,ber-danê,"V;V.MSDR;ACC"
ponijîn,ponijînê,"V;V.MSDR;ACC"
wergirtin,wergirtinê,"V;V.MSDR;ACC"
zûrîn,zûrînê,"V;V.MSDR;ACC"
qelizandin,qelizandinê,"V;V.MSDR;ACC"
ajotin,ajotinê,"V;V.MSDR;ACC"
xwendin,xwendinê,"V;V.MSDR;ACC"
tê-xistin,tê-xistinê,"V;V.MSDR;ACC"
dizîn,dizînê,"V;V.MSDR;ACC"
der-ketin,der-ketinê,"V;V.MSDR;ACC"
hilgirtin,hilgirtinê,"V;V.MSDR;ACC"
ve-mirandin,ve-mirandinê,"V;V.MSDR;ACC"
leyîstin,leyîstinê,"V;V.MSDR;ACC"
kirin,kirinê,"V;V.MSDR;ACC"
lûsîn,lûsînê,"V;V.MSDR;ACC"
