lemma,form,paradigm_slot,form_freq,lemma_freq,form_freq,lemma_freq
آبتنی کردن,آبتنی بکن,V;2;SG;IMP,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی بکن,V;2;SG;IMP;COL,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی بکنی,V;2;SG;SBJV;PRS,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی بکنی,V;2;SG;SBJV;PRS;COL,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی بکنید,V;2;PL;IMP,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی بکنید,V;2;PL;SBJV;PRS,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی بکند,V;3;SG;SBJV;PRS,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی بکنیم,V;1;PL;SBJV;PRS,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی بکنیم,V;1;PL;SBJV;PRS;COL,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی بکنم,V;1;SG;SBJV;PRS,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی بکنم,V;1;SG;SBJV;PRS;COL,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی بکنین,V;2;PL;IMP;COL,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی بکنین,V;2;PL;SBJV;PRS;COL,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی بکنن,V;3;PL;SBJV;PRS;COL,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی بکنند,V;3;PL;SBJV;PRS,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی بکنه,V;3;SG;SBJV;PRS;COL,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی خواهید کرد,V;2;PL;FUT,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی خواهد کرد,V;3;SG;FUT,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی خواهی کرد,V;2;SG;FUT,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی خواهیم کرد,V;1;PL;FUT,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی خواهم کرد,V;1;SG;FUT,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی خواهند کرد,V;3;PL;FUT,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کردی,V;2;SG;PST,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کردی,V;2;SG;PST;COL,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کرد,V;3;SG;PST,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کرد,V;3;SG;PST;COL,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کردید,V;2;PL;PST,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کردیم,V;1;PL;PST,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کردیم,V;1;PL;PST;COL,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کردم,V;1;SG;PST,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کردم,V;1;SG;PST;COL,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کردین,V;2;PL;PST;COL,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کردن,V;3;PL;PST;COL,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کردن,V;NFIN,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کردن,V;NFIN;COL,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کردند,V;3;PL;PST,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کرده,V;3;SG;PRS;PRF;COL,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کرده,V;V.PTCP;PST,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کرده,V;V.PTCP;PST;COL,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کردهای,V;2;SG;PRS;PRF,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کردهای,V;2;SG;PRS;PRF;COL,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کردهاید,V;2;PL;PRS;PRF,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کرده است,V;3;SG;PRS;PRF,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کردهایم,V;1;PL;PRS;PRF,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کردهایم,V;1;PL;PRS;PRF;COL,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کردهام,V;1;SG;PRS;PRF,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کردهام,V;1;SG;PRS;PRF;COL,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کردهاین,V;2;PL;PRS;PRF;COL,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کردهان,V;3;PL;PRS;PRF;COL,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کردهاند,V;3;PL;PRS;PRF,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کرده باشی,V;2;SG;SBJV;PST,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کرده باشی,V;2;SG;SBJV;PST;COL,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کرده باشید,V;2;PL;SBJV;PST,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کرده باشد,V;3;SG;SBJV;PST,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کرده باشیم,V;1;PL;SBJV;PST,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کرده باشیم,V;1;PL;SBJV;PST;COL,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کرده باشم,V;1;SG;SBJV;PST,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کرده باشم,V;1;SG;SBJV;PST;COL,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کرده باشین,V;2;PL;SBJV;PST;COL,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کرده باشن,V;3;PL;SBJV;PST;COL,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کرده باشند,V;3;PL;SBJV;PST,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کرده باشه,V;3;SG;SBJV;PST;COL,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کرده بودی,V;2;SG;PST;PRF,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کرده بودی,V;2;SG;PST;PRF;COL,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کرده بود,V;3;SG;PST;PRF,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کرده بود,V;3;SG;PST;PRF;COL,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کرده بودید,V;2;PL;PST;PRF,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کرده بودیم,V;1;PL;PST;PRF,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کرده بودیم,V;1;PL;PST;PRF;COL,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کرده بودم,V;1;SG;PST;PRF,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کرده بودم,V;1;SG;PST;PRF;COL,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کرده بودین,V;2;PL;PST;PRF;COL,0.0,0.0,0.0,0.0
آبتنی کردن,آبتنی کرده بودن,V;3;PL;PST;PRF;COL,0.0,0.0,0.0,0.0
