"iso_639_3","language_name","population_l1","div_bordering_languages","area_km2","altitude_range","roughness"
"djo","Jangkang",37000,5,2757.340405,390.8215942,4.79955101
"djr","Djambarrpuyngu",4282,2,43.75229161,82.48857689,3.688694
"dju","Kapriman",1640,5,560.4095907,1519.695343,6.334013462
"djw","Djawi",0,2,1229.968725,148.1101074,4.454882622
"dka","Dakpakha",2000,4,124.7076768,2694.639954,6.778354883
"dkk","Dakka",1500,4,23.81790406,1409.319885,6.685564518
"dkr","Kuijau",0,2,23.70602047,945.8967285,6.378071308
"dks","Southeastern Dinka",250000,4,10127.81087,58.39139557,2.244011164
"dkx","Mazagway",17000,8,488.4167822,467.9548645,5.13854599
"dlg","Dolgan",1050,4,74489.59122,1026.240173,5.002850374
"dln","Darlong",6000,2,168.115487,271.4711304,3.788746357
"dma","Duma",9840,3,333.4785614,416.2216835,4.976227999
"dmc","Dimir",3820,4,143.8442646,1746.354324,6.392463326
"dme","Dugwor",5000,4,21.06004837,269.8820686,3.989992976
"dmg","Upper Kinabatangan",0,6,1261.729126,753.4922791,5.883290052
"dmk","Domaaki",340,2,11.27303366,1816.90271,6.907860756
"dml","Dameli",5000,1,56.98152372,2698.743225,7.037541389
"dmm","Dama (Cameroon)",50,1,3.476567385,376.9195023,4.876743317
"dmo","Kemezung",4500,3,155.5333862,1108.035416,5.829763412
"dmr","East Damar",2800,1,99.1924568,34.55973434,4.224366665
"dms","Dampelas",2000,4,760.3623466,482.6442299,6.317546844
"dmu","Dubu",220,5,260.1461894,1651.89798,6.48093915
"dmv","Dumpas",0,3,45.42979802,436.6037292,5.798703909
"dmx","Dema",5000,2,1156.814397,729.5180511,5.649077892
"dmy","Demta",1300,4,101.5314402,1018.881248,6.221927762
"dna","Upper Grand Valley Dani",20000,4,253.8245748,2266.903931,7.031996489
"dnd","Daonda",170,3,12.06707961,988.9312134,6.103123665
"dne","Ndendeule",100000,3,10094.00279,932.0668411,5.861558199
"dng","Dungan",40000,2,559.7898327,2377.592773,6.924062729
"dni","Lower Grand Valley Dani",20000,6,1217.000053,2133.413208,6.220889886
"dnk","Dengka",20000,3,171.3490569,32.34194565,5.410171986
"dnn","Dzùùngoo",13400,7,924.0020626,146.7953746,4.134448051
"dnr","Danaru",260,4,54.2627669,2141.664124,7.110357523
"dnt","Mid Grand Valley Dani",50000,6,748.5939762,2266.903931,7.031996489
"dnu","Danau",1000,0,113.4797297,873.8367004,6.080328465
"dnw","Western Dani",180000,12,9552.080256,2266.903931,7.031996489
"dny","Deni",740,2,4800.342252,69.37187958,3.236361623
"doa","Dom",12000,4,184.951236,2487.246094,6.933227539
"dob","Dobu",10000,4,376.8375277,504.3609594,5.544491609
"doc","Northern Dong",463000,3,4629.970301,493.0716248,5.787639856
"doe","Doe",24000,5,685.5363163,835.9802856,5.52472496
"dof","Domu",950,3,108.9180234,1126.683517,6.858831644
"doh","Dong",5000,6,241.3234324,705.0296631,5.576126575
"dok","Dondo",13000,5,1560.801056,482.6442299,6.317546844
"dol","Doso",700,2,101.5053675,415.2581406,3.796748559
"don","Toura (Papua New Guinea)",1800,3,824.3042137,1892.6604,7.190649509
"doo","Dongo",12900,5,1460.002544,505.8438721,5.114546061
"dop","Lukpa",63600,10,2054.465494,246.9960098,4.595091581
"dor","Dori'o",2410,2,227.302893,447.8432312,5.977975368
"dos","Dogosé",20000,8,5328.009286,158.2913666,4.29618454
"dot","Dass",8830,5,152.7743672,679.3311615,5.087510467
"dov","Toka-Leya-Dombe",5430,1,86.02276467,505.1013947,4.923030138
"dow","Doyayo",18000,10,2295.031989,683.534373,5.528967063
"dox","Bussa",19700,4,260.0095523,1325.46106,6.516802788
"doy","Dompo",65,0,2842.983233,170.9926707,4.3607982
"doz","Dorze",20800,2,333.7862396,1315.910828,6.528440118
"dpp","Papar",0,2,18.06676604,599.9164352,5.899141312
"drb","Dair",1000,2,385.9035533,244.1084976,4.368705988
"drd","Darma",1750,1,679.6821995,3449.374512,7.141096115
"dre","Dolpo",1670,2,1912.54215,2999.180756,6.646631122
"drg","Rungus",55000,7,1378.002546,119.7151794,5.714117765
"dri","C'lela",90000,6,3285.810145,193.4811287,4.308550239
"drl","Paakantyi",24,1,29284.11882,114.5928421,3.280567169
"drn","West Damar",800,1,102.1533664,34.55973434,4.224366665
"dro","Daro-Matu Melanau",7600,1,846.4412176,281.2333984,4.381498277
"drq","Dura",3397,0,495.2756439,4507.749512,7.108198643
"drs","Gedeo",975000,2,957.3616044,1315.910828,6.528440118
"dru","Rukai",10500,5,792.2140922,1091.506744,6.808021188
"dry","Darai",11700,1,3.496437229,2448.70039,5.333576322
"dsb","Lower Sorbian",6670,1,131.6044161,230.2562256,4.285341024
"dsh","Daasanach",60500,4,4045.241318,1042.351929,5.991994858
"dsi","Disa",2370,4,356.6254643,124.7696419,3.67289114
"dsq","Tadaksahak",100000,7,93914.11538,92.95201874,3.985552311
"dta","Dagur",96100,9,21274.34264,415.6426697,4.917925835
"dtb","Labuk-Kinabatangan Kadazan",0,10,10092.30877,561.0878296,5.388508797
"dti","Ana Tinga Dogon",500,4,4.800697178,165.7788849,4.388505459
"dtk","Tengou-Togo Dogon",127000,7,2562.062026,119.6002388,3.832045794
"dtm","Tomo Kan Dogon",133000,9,6486.35541,119.6002388,3.832045794
"dtp","Central Dusun",141000,18,7208.953417,540.4205602,5.979208469
"dtr","Lotud",0,2,186.8546243,530.0869255,6.274558306
"dts","Toro So Dogon",50000,5,1467.503814,165.7788849,4.388505459
"dtt","Toro Tegu Dogon",2900,1,426.2035321,89.06420517,3.543204943
"dtu","Tebul Ure Dogon",3000,3,19.0035319,165.7788849,4.388505459
"dua","Duala",87700,7,1712.423664,917.5430145,6.092959404
"dub","Dubli",252000,2,1023.238637,354.8303795,5.146704555
"duc","Duna",11000,4,1921.210929,2471.141968,6.605589628
"dud","Hun-Saare",73000,8,3383.230722,245.196907,4.604712725
"due","Umiray Dumaget Agta",3000,3,2646.758224,910.3200378,6.166534662
"duf","Dumbea",2000,2,1914.150341,372.9292908,5.920311451
"dug","Duruma",397000,4,4222.93467,495.1815796,5.376486301
"duh","Dungra Bhil",100000,1,3040.550983,303.4533005,4.81845212
"dui","Dumun",35,3,53.54627562,2141.664124,7.110357523
"duk","Duduela",470,4,113.5683892,2141.664124,7.110357523
"dul","Alabat Island Agta",30,1,24.62550779,415.393809,5.809245745
"dun","Dusun Deyah",20000,4,1820.967497,288.0073547,5.361648083
"duo","Dupaninan Agta",1200,5,2890.685469,772.3557485,6.420091867
"duq","Dusun Malang",4500,8,4656.183185,415.7054901,4.958111227
"dur","Dii",47000,10,13131.37874,603.6871529,5.26025784
"dus","Dumi",7640,4,148.2543507,2290.923584,5.830791116
"duu","Drung",14225,3,4280.162718,2832.20166,7.115923405
"duv","Duvle",930,5,800.5921057,1396.417938,6.374885559
"duw","Dusun Witu",5000,4,674.5114274,225.969635,4.506129146
"dux","Duungooma",70000,6,2344.943992,146.390686,4.133498907
"duy","Dicamay Agta",0,1,343.6688021,1049.937195,6.420091867
"duz","Duli-Gewe",0,2,1998.222912,505.0318298,5.355997562
"dva","Duau",3550,2,224.341611,425.5939465,5.18411243
"dwa","Diri",7200,5,501.6129336,480.6806335,4.739094019
"dww","Dawawa",2500,4,217.4827358,724.4180908,6.134134293
"dya","Dyan",14100,7,365.5586886,143.8329124,4.121711969
"dyb","Dyaberdyaber",0,3,3966.414423,121.0185213,4.478431582
"dyd","Dyugun",0,4,6613.595664,121.0185213,4.478431582
"dyi","Djimini Senoufo",95500,6,10225.16102,142.1133499,4.209068537
"dym","Yanda Dom Dogon",2000,4,139.623181,165.7788849,4.388505459
"dyo","Jola-Fonyi",407000,16,7189.183646,32.27769279,3.006101012
"dyu","Dyula",2500000,24,10520.02622,133.0319519,4.221273899
"dyy","Dyaabugay",29,2,649.5182154,450.5400696,5.62198925
"dza","Tunzu",2500,2,41.84994223,679.3311615,5.087510467
"dzg","Dazaga",381000,11,479391.0978,146.932106,3.922299385
"dzl","Dzalakha",22000,6,2759.450502,3240.611816,7.045140028
"dzn","Dzando",6000,4,720.9568103,119.3866882,3.587871552
"dzo","Dzongkha",171000,15,16312.47713,2472.864075,6.403575182
"ebg","Ebughu",5000,4,74.53412552,423.7205048,5.603181601
"ebo","Teke-Eboo-Nzikou",20400,9,21803.32235,238.9093374,4.34646519
"ebr","Ebrié",75900,6,1035.132205,170.2126007,4.189496994
"ebu","Embu",429000,6,2889.937842,1189.294281,6.078211784
"efa","Efai",6320,2,25.27739335,423.7205048,5.603181601
"efe","Efe",20000,18,28249.94656,678.2807007,5.513251305
"efi","Efik",400000,11,2143.595823,370.4517517,4.67139864
"ega","Ega",2500,0,15.98623918,179.9412308,4.259774923
"ego","Eggon",140000,4,912.1220254,684.9346924,5.532274246
"ehu","Ehueun",14200,4,199.3534448,380.1930084,4.969872236
"eip","Eipomek",3000,3,671.3442717,1920.527695,5.931137681
"eit","Eitiep",500,4,36.96955325,798.9605103,5.861983538
"eiv","Askopan",1200,6,528.2109417,520.0935974,6.399749279
"eja","Ejamat",8230,3,575.136721,32.27769279,2.920206865
"eka","Ekajuk",63000,6,428.7380103,727.786972,5.333243728
"eke","Ekit",200000,6,287.7329308,423.7205048,5.603181601
"ekg","Ekari",100000,8,12236.49255,1554.899414,7.059056282
"eki","Eki",5000,4,79.64455538,370.4517517,4.67139864
"ekk","Estonian",1040000,5,45437.99628,122.3595352,4.039903164
"ekm","Elip",6400,7,458.0805968,786.6901398,5.513936996
"eko","Koti",77000,3,657.4229103,271.7741013,4.613827229
"ekp","Ekpeye",30000,8,744.1709189,168.0540466,3.472975969
"ekr","Yace",50000,3,188.5463124,604.9888153,5.125546932
"eky","Eastern Kayah",26000,6,4280.805831,854.3030243,6.001437902
"ele","Elepi",330,2,12.43254945,753.1196289,5.36567688
"elh","El Hugeirat",50,1,681.8249264,194.3443298,4.087134123
"eli","Nding",0,0,652.8716936,174.4994125,3.221096754
"elk","Elkei",1640,5,110.0078935,798.9605103,5.861983538
"ell","Modern Greek",11846920,24,186727.4195,690.2717896,6.503797054
"elm","Eleme",58000,3,82.68834238,269.6792212,4.263822079
"elo","El Molo",8,0,27370.44707,876.3657227,6.05163455
"elu","Elu",220,2,13.00724638,71.9605484,4.823676586
"ema","Emai-Iuleha-Ora",100000,9,770.499034,351.4570923,5.167666912
"emb","Embaloh",10000,4,2193.082167,497.4588013,5.430763721
"eme","Teko",400,3,513.7525898,161.475174,4.118048906
"emg","Eastern Meohang",0,4,51.01331308,2185.364502,6.084828138
"emi","Mussau-Emira",3651,0,388.6248803,112.4737612,4.551846027
"emk","Eastern Maninkakan",3498000,13,90975.55397,140.8622475,3.881813407
"emn","Eman",800,5,35.17455342,1106.72113,5.925098896
"emp","Northern Emberá",72200,8,26828.4987,1299.371582,6.238219738
"ems","Pacific Gulf Yupik",300,2,27804.21047,1025.041768,6.474231561
"emu","Eastern Muria",200000,7,4728.315868,587.0518646,5.391818047
"emw","Emplawas",250,2,23.85323733,64.12904263,3.995591462
"ena","Apali",980,4,599.462562,2487.246094,6.933227539
"enb","Markweeta",180000,6,2627.083373,1548.248291,6.39795804
"enc","En",200,1,6.398133933,905.8083649,5.901335478
"end","Ende",110000,2,662.2926992,574.1831055,6.362447262
"enf","Forest Enets",40,2,2873.510972,285.5864944,4.486697912
"enh","Tundra Enets",40,2,2932.251077,123.2624029,4.076861699
"enn","Engenni",20000,5,193.5066598,168.0540466,3.472975969
"eno","Enggano",1500,0,400.0588884,587.7759399,3.636982381
"enq","Enga",230000,9,7284.87437,2458.823486,6.990205526
"enr","Emumu",2000,5,648.9513622,988.9312134,6.103123665
"enu","Enu",30000,0,1872.144801,782.0926819,6.192025185
"env","Enwan (Edu State)",14000,6,114.7043942,351.4570923,5.167666912
"enw","Enwan (Akwa Ibom State)",15000,4,75.44423144,423.7205048,5.603181601
"eot","Beti (Côte d'Ivoire)",200,3,282.855006,180.5846939,4.229865789
"epi","Epie",12000,6,219.2662943,168.0540466,3.472975969
"era","Eravallan",5000,2,515.8036379,859.1639404,6.48571682
"erg","Sie",1900,1,735.815889,76.60994339,4.956988096
"erh","Eruwa",64000,3,391.4447481,168.0540466,3.472975969
"eri","Ogea",2210,4,76.45191036,2141.664124,7.110357523
"erk","South Efate",6000,4,682.6799272,128.09338,5.000798941
"ero","Stau-Dgebshes",45000,5,7087.694118,1303.735718,6.500953436
"err","Erre",0,1,1274.765638,169.3298397,4.232854426
"ers","Ersu",20000,3,2604.093825,2236.854797,6.808152914
"ert","Eritai",530,3,771.7639751,1396.417938,6.374885559
"erw","Erokwanas",200,4,126.1174006,751.7624969,5.963970661
"ese","Ese Ejja",730,2,5442.789173,495.394989,4.093537649
"esh","Eshtehardi",0,4,6407.464245,1749.946976,6.709452748
"esi","North Alaskan Inupiatun",0,2,54559.12385,268.7459819,4.334441821
"esk","Seward Alaska Inupiatun",5580,1,117428.903,386.0428162,5.513332844
"esq","Esselen",80,4,2335.952913,622.3693848,6.064563274
"ess","Central Siberian Yupik",1910,2,6548.617599,26.0243597,4.485457659
"esu","Central Alaskan Yupik",10000,1,127594.578,259.3272552,4.397289991
"etb","Etebi",15000,4,28.33393073,423.7205048,5.603181601
"etn","Eton (Vanuatu)",500,1,12.05163528,128.09338,5.000798941
"eto","Eton-Mengisa",52000,8,3184.681685,655.837265,4.934914589
"etr","Edolo",1670,2,531.7661462,1974.992188,6.05109024
"ets","Yekhee",274000,8,3025.029368,351.4570923,5.167666912
"etu","Ejagham",116700,18,7886.935491,850.5851288,5.540940523
"etx","Eten",40000,6,111.7567328,679.3311615,5.087510467
"etz","Semimi",1000,3,2398.312818,740.1288452,5.99274826
"eus","Basque",544200,5,9542.254386,713.8048782,5.787246466
"eve","Even",5660,3,57000.93791,562.2880249,4.881514072
"evh","Uvbie",19800,4,202.7102095,98.00015259,3.516828656
"evn","Evenki",16800,9,489058.3053,459.3560384,5.50103267
"ewe","Ewe",3112000,20,16400.99435,298.1988068,4.86211729
"ewo","Ewondo",578000,13,15989.09744,322.1522522,4.563074112
"ext","Extremaduran",201500,3,5176.802449,663.65271,5.498247941
"eya","Eyak",50,2,25969.78346,1199.899536,6.521651268
"eyo","Keiyo",314000,4,3297.533797,1587.238464,6.56069684
"eze","Uzekwe",5000,5,35.23359882,348.8528137,4.741388559
"faa","Fasu",1200,4,2461.568234,1706.546753,5.994637489
"fad","Wagi (Papua New Guinea)",3380,4,41.96436034,2141.664124,7.110357523
"faf","Fagani",900,2,819.3312587,262.2314034,5.653765519
"fag","Finongan",1300,4,42.3867593,1785.090088,7.233548403
"fai","Faiwol",4500,9,3353.82452,2511.883057,6.163995743
"faj","Kulsab",50,2,24.77650109,2487.246094,6.933227539
"fak","Fang (Cameroon)",2400,6,48.50771947,1147.539795,6.004099528
"fal","South Fali",20000,2,918.6664806,505.0318298,5.355997562
"fam","Fam",1000,0,224.8488385,971.9898071,5.629380584
"fan","Fang (Equatorial Guinea)",1306100,17,89441.49193,405.0719833,4.971348405
"fao","Faroese",45000,0,1415.350102,53.07091141,4.788253307
"fap","Palor",10700,1,16.06513374,33.80359268,3.26093936
"far","Fataleka",6700,3,320.0143883,471.6794891,5.977975368
"fau","Fayu",1400,6,2314.21891,1179.54332,6.396161437
"fax","Fala",10500,3,167.7033125,664.126709,5.630544186
"fay","Fars Dialects",100000,5,31757.37859,1433.184123,6.536495686
"fer","Feroge",8000,7,419.8117035,216.3624496,4.250904799
"ffm","Maasina Fulfulde",1000000,28,290258.1137,119.8025703,3.661436915
"fgr","Fongoro",0,6,5668.905379,333.6728973,4.609037161
"fia","Nobiin",605000,3,9965.117807,217.1295166,4.329113364
"fie","Fyer",26100,3,30.97877546,877.9816895,5.435926914
"fij","Fijian",330000,1,11608.76048,221.0307007,5.325935841
"fil","Filipino",0,1,3928.271328,412.2036972,5.540220022
"fin","Finnish",5138900,12,308994.1261,166.9784271,4.044405365
"fip","Fipa",195000,6,11393.42068,904.9875488,6.165491581
"fir","Firan",2500,2,8.273038788,679.3311615,5.087510467
"fit","Tornedalen Finnish",60000,4,37012.01867,400.9459839,4.809094906
"fiw","Fiwaga",300,3,362.7239446,1877.011841,6.338659883
"fkv","Kven Finnish",5000,5,1117.184904,230.2375997,4.904464086
"fla","Kalispel-Pend d'Oreille",64,2,1742.146943,1170.546326,6.293337107
"flh","Foau",350,6,4938.051014,1447.895874,6.422052622
"fli","Fali",25000,7,309.7784353,467.9548645,5.13854599
"fll","North Fali",16000,6,949.8750791,467.9548645,5.13854599
"fln","Flinders Island",0,2,835.7375715,242.7701874,4.67033124
"flr","Fuliiru",400000,7,3370.799499,978.7523041,6.139311314
"fmp","Fe'fe'",124000,6,814.3218137,1330.718506,6.410482407
"fmu","Far Western Muria",400000,3,1066.81863,218.4743805,4.608170509
"fni","Fania",1100,9,4063.289287,124.7696419,3.67289114
"fod","Foodo",24500,3,137.32818,266.7806651,4.590976079
"foi","Foi",2800,3,1108.084875,1706.546753,5.994637489
"fon","Fon",1435500,19,5828.348672,338.9494247,4.765662193
"for","Fore",17000,7,713.4819417,1916.283508,6.958115339
"fos","Sirayaic",0,1,3015.243088,1091.506744,6.808021188
"fqs","Momu-Fas",2500,5,2004.716261,589.8666229,6.021802902
"frc","Cajun French",25600,4,37000.1374,100.1923828,3.061701059
"frd","Fordata",50000,0,972.9130686,53.47127247,4.226109266
"frp","Arpitan",137000,5,47867.65144,1287.23056,5.86130619
"frq","Forak",280,3,4.423204439,1796.082153,7.287487507
"frr","Northern Frisian",10000,2,604.4835046,39.37290573,3.498039484
"frs","German Northern Low Saxon",2000,1,123.4224379,338.8261948,4.176306009
"frt","Kiai",450,6,168.0244009,203.6951396,5.835590839
"fry","Western Frisian",467000,4,3031.212115,88.22812271,3.798597813
"fub","Adamawa Fulfulde",907000,71,70429.46718,505.0318298,5.355997562
"fuc","Pulaar",3691000,26,186636.9385,66.41250896,3.205155313
"fud","East Futuna",3600,0,92.10242795,7.796545029,1.55351313
"fue","Borgu Fulfulde",280000,3,4579.966625,209.1854019,4.398528934
"fuf","Pular",2779200,14,81704.50582,302.3517342,4.959545791
"fuh","Western Niger Fulfulde",1230000,18,98569.65456,76.82649422,3.614328504
"fui","Bagirmi Fulfulde",24000,5,46081.87091,80.93772507,2.921315074
"fuj","Ko",2680,1,274.8089119,336.9057007,4.371409416
"fun","Fulniô",2930,1,1407.266936,585.3054199,5.38087225
"fuq","Central-Eastern Niger Fulfulde",450000,7,343978.8091,106.1764145,3.640650034
"fur","Friulian",300000,4,4756.986299,2014.708374,6.640640497
"fut","Futuna-Aniwa",1500,0,18.06794286,135.4240723,4.758507252
"fuu","Furu",16000,10,3306.022273,142.3881531,4.378334284
"fuv","Hausa States Fulfulde",11585000,9,34922.35815,269.8820686,3.989992976
"fuy","Fuyug",14000,8,2914.145408,1763.608978,7.142966628
"fvr","Fur",501800,10,114596.0088,733.7064209,5.79754734
"fwa","Fwâi",1860,2,91.89200103,282.3995056,5.718149662
"fwe","Fwe",10200,6,3374.926597,149.5231476,3.832846761
"gaa","Ga",600000,6,1675.617048,193.3315277,4.635757685
"gab","Gabri",34400,4,513.3387191,192.6016693,4.147084236
"gad","Gaddang",30000,8,800.9444895,1322.505371,6.531216621
"gae","Baniva de Maroa",650,6,25973.90737,533.9492207,4.409147322
"gaf","Gende",8000,4,572.3747827,2487.246094,6.933227539
"gag","Gagauz",168000,5,17524.20092,231.6948204,4.641865492
"gah","Alekano",25000,5,257.3407231,1963.67867,6.884284019
"gai","Borei",2090,4,116.649894,897.2494507,5.110510349
"gaj","Gadsup",22100,6,400.0034357,1916.283508,6.958115339
"gak","Gamkonora",1500,2,82.80535678,267.2740326,5.947149992
"gal","Galoli-Talur",13680,7,1187.269956,607.0228004,6.233151197
"gam","Kandawo",4000,2,322.4052562,2487.246094,6.933227539
"gao","Gants",1880,4,149.2391961,2487.246094,6.933227539
"gap","Gal",340,6,20.29299421,2141.664124,7.110357523
"gaq","Gata'",3060,4,152.2858777,758.1212769,5.795221329
"gar","Galeya",2620,2,175.1307301,371.2779503,5.23030138
"gas","Adiwasi Garasia",100000,1,5453.999847,361.2023849,4.598775148
"gat","Kenati",950,3,86.24958543,1916.283508,6.958115339
"gau","Mudhili Gadaba",8000,3,733.6549936,768.8763428,5.91158843
"gaw","Nobonob",5000,12,211.0337103,1746.354324,6.392463326
"gax","Borana-Arsi-Guji Oromo",3949600,30,316038.6101,915.484726,5.863771081
"gay","Gayo",300000,3,7681.642454,1160.062042,6.778681517
"gaz","West Central Oromo",8920000,33,115405.9849,1199.301025,6.48571682
