lemma,form,paradigm_slot,phonemic_form
gallos,gallons i,V;FIN;IND;PST;PFV;3;PL,ɡ a l ɔ n z i
gallos,galles,V;FIN;IMP;3;SG,ɡ a l ɪ s
gallos,gyllyn,V;FIN;IMP;1;PL,ɡ ɪ l ɪ n
gallos,gallewgh hwi,V;FIN;SBJV;PST;IPFV;2;PL,ɡ a l ɛ u x w iː
gallos,gallen ni,V;FIN;SBJV;PST;IPFV;1;PL,ɡ a l ə n n iː
gallos,galsen ni,V;FIN;IND;COND;1;PL,ɡ a l s ə n n iː
gallos,gallav vy,V;FIN;IND;PRS/FUT;1;SG,ɡ a l ə v v iː
gallos,gyllewgh hwi,V;FIN;IND;PST;IPFV;2;PL,ɡ ɪ l ɛ u x w iː
gallos,gyll,V;FIN;IMP;2;SG,ɡ ɪ l
gallos,gyllyn ni,V;FIN;IND;PRS/FUT;1;PL,ɡ ɪ l ɪ n n ɪ
gallos,gylliv vy,V;FIN;SBJV;PRS/FUT;1;SG,ɡ ɪ l ɪ v v iː
gallos,gyller,V;FIN;SBJV;PRS/FUT;0,ɡ ɪ l ə r
gallos,gyllens i,V;FIN;IND;PST;IPFV;3;PL,ɡ ɪ l ɛ n z i
gallos,gyllowgh,V;FIN;IMP;2;PL,ɡ ɪ l ɔ uː x
gallos,gylsys jy,V;FIN;IND;PST;PFV;2;SG,ɡ ɪ l s ɪ s d͡ʒ iː
gallos,gyllir,V;FIN;IND;PRS/FUT;0,ɡ ɪ l ɪ r
gallos,gallens i,V;FIN;SBJV;PST;IPFV;3;PL,ɡ a l ɛ n z i
gallos,galsa ev,V;FIN;IND;COND;3;SG,ɡ a l s ə ɛ v
gallos,gylsowgh hwi,V;FIN;IND;PST;PFV;2;PL,ɡ ɪ l s ɔ u ɣ w iː
gallos,galles jy,V;FIN;SBJV;PST;IPFV;2;SG,ɡ a l ə z d͡ʒ iː
gallos,gyllen vy,V;FIN;IND;PST;IPFV;1;SG,ɡ ɪ l ə n v iː
gallos,galles,V;FIN;SBJV;PST;IPFV;0,ɡ a l ɪ s
gallos,gylsyn ni,V;FIN;IND;PST;PFV;1;PL,ɡ ɪ l s ɪ n n i
gallos,gyll ev,V;FIN;IND;PRS/FUT;3;SG,ɡ ɪ l ɛ v
gallos,galsewgh hwi,V;FIN;IND;COND;2;PL,ɡ a l s ɛ u x w iː
gallos,gylles jy,V;FIN;IND;PST;IPFV;2;SG,ɡ ɪ l ə s d͡ʒ iː
gallos,gallen vy,V;FIN;SBJV;PST;IPFV;1;SG,ɡ a l ə n v iː
gallos,gylles,V;FIN;IND;PST;IPFV;0,ɡ ɪ l ɪ z
gallos,gyllons i,V;FIN;IND;PRS/FUT;3;PL,ɡ ɪ l ɔ n z i
gallos,gallo ev,V;FIN;SBJV;PRS/FUT;3;SG,ɡ a l ɔ ɛ v
gallos,gyllyn ni,V;FIN;SBJV;PRS/FUT;1;PL,ɡ ɪ l ɪ n n ɪ
gallos,gallons,V;FIN;IMP;3;PL,ɡ a l ɔ n z
gallos,gallons i,V;FIN;SBJV;PRS/FUT;3;PL,ɡ a l ɔ n z i
gallos,gyllis vy,V;FIN;IND;PST;PFV;1;SG,ɡ ɪ l ɪ s v iː
gallos,galla ev,V;FIN;IND;PST;IPFV;3;SG,ɡ a l ə ɛ v
gallos,gylli ev,V;FIN;IND;PST;IPFV;3;SG,ɡ ɪ l ɪ ɛ v
gallos,gyllowgh hwi,V;FIN;SBJV;PRS/FUT;2;PL,ɡ ɪ l ɔ u ɣ w iː
gallos,gylli jy,V;FIN;SBJV;PRS/FUT;2;SG,ɡ ɪ l ɪ d͡ʒ iː
gallos,gylsys,V;FIN;IND;PST;PFV;0,ɡ ɪ l s ɪ s
gallos,galla ev,V;FIN;SBJV;PST;IPFV;3;SG,ɡ a l ə ɛ v
gallos,galses jy,V;FIN;IND;COND;2;SG,ɡ a l s ə z d͡ʒ iː
gallos,gyllowgh hwi,V;FIN;IND;PRS/FUT;2;PL,ɡ ɪ l ɔ u ɣ w iː
gallos,gyllydh jy,V;FIN;IND;PRS/FUT;2;SG,ɡ ɪ l ɪ ð d ʒ iː
gallos,galsens i,V;FIN;IND;COND;3;PL,ɡ a l s ɛ n s i
gallos,gallas ev,V;FIN;IND;PST;PFV;3;SG,ɡ a l ə s ɛ v
gallos,gyllen ni,V;FIN;IND;PST;IPFV;1;PL,ɡ ɪ l ə n n i
gallos,galsen vy,V;FIN;IND;COND;1;SG,ɡ a l s ə n v iː
gallos,galses,V;FIN;IND;COND;0,ɡ a l s ɪ z
godhvos,godhvens,V;FIN;IND;PST;PFV;3;PL,ɡ ɔ ð v ɛ n z
godhvos,godhvedhes,V;FIN;IMP;3;SG,ɡ ɔ ð v ɛ ð ɪ s
godhvos,godhvedhyn,V;FIN;IMP;1;PL,ɡ ɔ ð v ɛ ð ɪ n
godhvos,godhvewgh,V;FIN;SBJV;PST;IPFV;2;PL,ɡ ɔ ð v ɪ uː x
godhvos,godhven,V;FIN;SBJV;PST;IPFV;1;PL,ɡ ɔ ð v ɛ n
godhvos,godhvien,V;FIN;IND;COND;1;PL,ɡ ɔ ð v i ɛ n
godhvos,gonn,V;FIN;IND;PRS/FUT;1;SG,ɡ ɔ n
godhvos,godhyewgh,V;FIN;IND;PST;IPFV;2;PL,ɡ ɔ ð j uː x
