iso_639_3,glottocode,language_name,family,macro_area,population_l1,population_source,population_scope,l2_proportion,vehicularity,div_bordering_languages,area_km2,altitude_range,roughness,eco_imputed,latitude,longitude
hdy,hadi1240,Hadiyya,Afro-Asiatic,Africa,1250000.0,Bromham,hdy,,0,9.0,3498.031184,1278.113525,6.687742472,False,7.57377,37.7577
gow,goro1270,Gorowa,Afro-Asiatic,Africa,50000.0,Bromham,gow,,0,4.0,2140.10278,743.1786499,5.995214105,False,-4.23575,35.7996
irk,iraq1241,Iraqw,Afro-Asiatic,Africa,462000.0,Bromham,irk,0.0,0,10.0,10129.6885,860.0772705,6.182271481,False,-4.19948,35.2939
stv,silt1240,Silt'e,Afro-Asiatic,Africa,935000.0,Bromham,stv,,0,8.0,2091.797281,1295.051107,6.685487111,False,7.77004,38.1449
wle,wola1253,Wolane,Afro-Asiatic,Africa,,,,,0,4.0,489.5083791,1271.113586,6.635544538,False,8.23,38.14
sgw,seba1251,Sebat Bet Gurage,Afro-Asiatic,Africa,440000.0,Bromham,sgw,0.0,0,6.0,2053.450879,1271.113586,6.635544538,False,8.11879,37.9891
mvz,mesq1240,Mesqan,Afro-Asiatic,Africa,195000.0,Bromham,mvz,,0,3.0,258.525592,1318.518066,6.72128129,False,8.10617,38.3386
gru,kist1241,Kistane,Afro-Asiatic,Africa,255000.0,Bromham,gru,0.191759109,0,6.0,1020.881186,1318.518066,6.72128129,False,8.33561,38.4763
gft,gafa1240,Gafat,Afro-Asiatic,Africa,,,,,0,4.0,919.1701375499999,467.9548645,5.006450653,True,11.5764,39.5605
acy,cypr1248,Cypriot Arabic,Afro-Asiatic,Eurasia,,,,,0,4.0,919.1701375499999,467.9548645,5.006450653,True,35.1674,33.0943
apc,nort3139,Levantine Arabic,Afro-Asiatic,Eurasia,13200000.0,Ethnologue_multiISO,apc,,1,4.0,43176.46394,467.9548645,5.006450653,True,34.1709,36.0468
acm,meso1252,Gilit Mesopotamian Arabic,Afro-Asiatic,Eurasia,14600000.0,Ethnologue_multiISO,acm,,1,4.0,144255.8299,467.9548645,5.006450653,True,33.8178,43.1095
avl,east2690,Eastern Egyptian Bedawi Arabic,Afro-Asiatic,Africa,1640000.0,Ethnologue_multiISO,avl,,0,4.0,919.1701375499999,467.9548645,5.006450653,True,29.6742,33.6113
ayl,liby1240,Libyan Arabic,Afro-Asiatic,Africa,4320500.0,Ethnologue_multiISO,ayl,,0,4.0,919.1701375499999,467.9548645,5.006450653,True,22.0032,15.0014
yud,jude1264,Judeo-Tripolitanian Arabic,Afro-Asiatic,Eurasia,,,,,0,4.0,919.1701375499999,467.9548645,5.006450653,True,31.9567,34.7422
acq,taiz1242,Ta'izzi-Adeni Arabic,Afro-Asiatic,Eurasia,,,,,0,4.0,919.1701375499999,467.9548645,5.006450653,True,13.6555,45.6411
ayh,hadr1236,Hadrami Arabic,Afro-Asiatic,Eurasia,,,,,0,4.0,919.1701375499999,467.9548645,5.006450653,True,15.4468,48.6524
acw,hija1235,Hijazi Arabic,Afro-Asiatic,Eurasia,,,,,0,4.0,919.1701375499999,467.9548645,5.006450653,True,22.8346,38.9237
smp,sama1313,Samaritan,Afro-Asiatic,Eurasia,620.0,Bromham,smp,,0,2.0,2875.890424,755.6343079,5.976591349,False,32.0817,35.4487
heb,hebr1245,Modern Hebrew,Afro-Asiatic,Eurasia,4850000.0,Bromham,heb,,1,8.0,11531.265,965.9433594,6.142790556,False,31.1056,35.0179
kno,kono1268,Kono (Sierra Leone),Mande,Africa,205000.0,Bromham,kno,0.084745765,0,5.0,5760.261289,385.2467804,4.980597019,False,8.67039,-10.9214
vai,vaii1241,Vai,Mande,Africa,119500.0,Bromham,vai,0.0,0,4.0,4331.047647,257.1251831,4.432397366,False,7.05085,-11.3262
lig,ligb1244,Ligbi,Mande,Africa,19000.0,Bromham,lig,,0,5.0,435.7827205,173.119194,4.437000036,False,7.94291,-2.56353
tjn,tonj1246,Tonjon,Mande,Africa,,,,,0,1.0,6385.606366,147.4858602,4.28346014,False,8.357,-4.40666
bxl,jalk1242,Jalkunan,Mande,Africa,500.0,Bromham,bxl,,0,1.0,5.096237687,146.390686,4.133498907,False,10.5426,-5.21959
jek,jeri1242,Jeli,Mande,Africa,1500.0,Bromham,jek,,0,0.0,857.0286271,128.1869888,4.146265984,False,9.3957,-5.66717
lok,loko1255,Loko,Mande,Africa,138000.0,Bromham,lok,,0,3.0,1686.961384,389.239624,5.029829502,False,9.11838,-12.1583
men,mend1266,Mende (Sierra Leone),Mande,Africa,1499700.0,Bromham,men,,1,9.0,28816.09027,323.1824036,4.731113434,False,7.90935,-10.9926
zil,zial1235,Zialo,Mande,Africa,,,,,0,6.0,3929.723313,173.119194,4.28346014,True,8.43,-9.51
bza,band1352,Bandi,Mande,Africa,100000.0,Bromham,bza,,0,7.0,2224.150457,434.8725433,4.883308887,False,7.73729,-10.1684
boz,tiey1235,Tiéyaxo Bozo,Mande,Africa,118000.0,Bromham,boz,0.0,0,3.0,1613.67009,75.27411079,3.140868545,False,14.1223,-5.08609
boo,tiem1235,Tiemacèwè Bozo,Mande,Africa,2500.0,Bromham,boo,,0,3.0,376.3122007,64.42252731,3.111070514,False,15.47052,-4.25688
dux,duun1242,Duungooma,Mande,Africa,70000.0,Bromham,dux,,0,6.0,2344.943992,146.390686,4.133498907,False,10.9234,-5.85872
bxw,bank1258,Bankagooma,Mande,Africa,6000.0,Bromham,bxw,,0,2.0,162.1343714,130.7380962,3.981413066,False,11.7497,-5.50744
gov,gooa1234,Goo,Mande,Africa,,,,,0,6.0,3929.723313,173.119194,4.28346014,True,7.580998,-7.562563
neb,tour1242,Toura (Côte d'Ivoire),Mande,Africa,50000.0,Bromham,neb,0.0,0,4.0,2194.020963,226.0627289,4.405287147,False,7.76747,-7.33105
lez,lezg1247,Lezgian,Nakh-Daghestanian,Eurasia,766000.0,Bromham,lez,0.0,0,12.0,5748.563121,2643.784424,7.20380497,False,41.5157,47.8951
ojs,seve1240,Severn Ojibwa,Algic,North America,10500.0,Bromham,ojs,0.0,0,1.0,1740.935142,153.2126846,3.759748399,False,53.9092,-89.9331
alq,algo1255,Algonquin,Algic,North America,1760.0,Bromham,alq,0.0,0,2.0,1866.390058,237.2468567,4.363453865,False,47.3876,-77.5258
mof,mohe1244,Mohegan-Montauk-Narragansett,Algic,North America,,,,,0,2.0,1866.390058,270.4732132,4.522262255,True,41.8581,-72.1701
qyp,wamp1250,Wampano,Algic,North America,,,,,0,2.0,1866.390058,270.4732132,4.522262255,True,41.2021,-73.3798
abe,west2630,Western Abenaki,Algic,North America,14.0,Bromham,abe,,0,4.0,29642.961,497.9520264,5.596167088,False,46.1381,-72.6511
aaq,east2544,Eastern Abenaki,Algic,North America,1800.0,Bromham,aaq,,0,2.0,51994.69699,363.8527374,4.962409735,False,45.0112,-68.6617
pqm,male1292,Malecite-Passamaquoddy,Algic,North America,590.0,Bromham,pqm,0.0,0,2.0,1086.909955,170.9199626,4.522262255,False,45.494475,-67.40805
mic,mikm1235,Mi'kmaq,Algic,North America,8270.0,Bromham,mic,0.0,0,2.0,2225.39474,117.3276062,4.560739517,False,45.9941,-65.5766
tys,tays1238,Tày Sa Pa,Tai-Kadai,Eurasia,300.0,Bromham,tys,,0,2.0,5.556691945,917.7417603,6.584017277,False,22.295,103.805
zyn,yong1275,Yongnan Zhuang,Tai-Kadai,Eurasia,1800000.0,Bromham,zyn,,0,6.0,15001.67329,434.4914398,5.192758322,False,22.8,108.0
zyb,yong1276,Yongbei Zhuang,Tai-Kadai,Eurasia,1980000.0,Bromham,zyb,,0,10.0,10963.55527,542.4480515,5.427557707,False,23.1,108.15
zgb,guib1245,Guibei Zhuang,Tai-Kadai,Eurasia,1500000.0,Bromham,zgb,0.0,0,19.0,18756.18975,570.6807022,5.678006172,False,24.9,108.1
zyj,youj1238,Youjiang Zhuang,Tai-Kadai,Eurasia,870000.0,Bromham,zyj,,0,8.0,8062.289994,729.5182495,5.820995808,False,23.75,106.9
pcc,bouy1240,Bouyei,Tai-Kadai,Eurasia,2649100.0,Bromham,pcc,0.0,0,46.0,25796.56694,757.0621719,5.882706523,False,24.8484,106.187
giu,gela1264,Gelao Mulao,Tai-Kadai,Eurasia,,,,,0,5.0,2252.084355,763.236042,5.901335478,True,26.574605,107.239537
giw,whit1267,Duoluo Gelao,Tai-Kadai,Eurasia,1220.0,Bromham,giw,,0,12.0,1198.516292,1143.029236,6.123599768,False,23.0196,105.07
giq,gree1278,Hagei Gelao,Tai-Kadai,Eurasia,300.0,Bromham,giq,,0,2.0,507.2813206,847.207222,5.849804759,False,22.5632,104.698
irh,irar1238,Irarutu,Austronesian,Papunesia,4000.0,Bromham,irh,0.0,0,8.0,8324.17103,751.7624969,5.963970661,False,-2.94438,133.586
nbn,kuri1260,Nabi,Austronesian,Papunesia,500.0,Bromham,nbn,,0,4.0,3477.434023,980.4457703,6.133354425,False,-2.80683,134.098
emw,empl1237,Emplawas,Austronesian,Papunesia,250.0,Bromham,emw,,0,2.0,23.85323733,64.12904263,3.995591462,False,-8.03209,129.721
tvm,tela1241,Tela-Masbuar,Austronesian,Papunesia,1050.0,Bromham,tvm,,0,2.0,20.17981101,64.12904263,3.995591462,False,-8.01195,129.687
imr,imro1237,Imroing,Austronesian,Papunesia,560.0,Bromham,imr,,0,1.0,9.069081895,64.12904263,3.995591462,False,-7.96772,129.651
mss,west2535,West Masela,Austronesian,Papunesia,850.0,Bromham,mss,,0,2.0,23.65926974,64.12904263,3.995591462,False,-8.1804,129.833
mxz,cent2072,Central Masela,Austronesian,Papunesia,510.0,Bromham,mxz,,0,2.0,2.298314437,64.12904263,3.995591462,False,-8.15414,129.865
vbb,sout2883,Southeast Babar,Austronesian,Papunesia,4460.0,Bromham,vbb,,0,2.0,129.788955,64.12904263,3.995591462,False,-7.94359,129.8
sve,seri1255,Serili,Austronesian,Papunesia,330.0,Bromham,sve,,0,1.0,8.986792954,64.12904263,3.995591462,False,-8.11241,129.901
vme,east2462,East Masela,Austronesian,Papunesia,520.0,Bromham,vme,,0,3.0,13.94545678,64.12904263,3.995591462,False,-8.13455,129.873
bpz,bilb1242,Bilba,Austronesian,Papunesia,7000.0,Bromham,bpz,,0,4.0,184.1034901,32.34194565,5.410171986,False,-10.6503,123.307
rgu,ring1244,Ringgou,Austronesian,Papunesia,12000.0,Bromham,rgu,,0,1.0,240.7684723,32.34194565,5.410171986,False,-10.5515,123.311
aaz,amar1273,Amarasi,Austronesian,Papunesia,70000.0,Bromham,aaz,,0,2.0,796.5878631,316.5432124,5.266884923,False,-10.21751,123.96373
apx,aput1237,Aputai,Austronesian,Papunesia,150.0,Bromham,apx,,0,2.0,113.8859481,549.9142507,6.18377924,False,-7.84732,126.496
wet,pera1257,Perai,Austronesian,Papunesia,280.0,Bromham,wet,,0,1.0,225.0336311,232.0457306,6.05232811,False,-7.62349,126.576
ktk,kani1282,Kaniet,Austronesian,Papunesia,,,,,0,3.0,244.2813076,471.6794891,5.882055283,True,-1.51777,145.086
pkg,pakt1239,Pak-Tong,Austronesian,Papunesia,970.0,Bromham,pkg,,0,0.0,25.73664924,65.57713509,4.870939255,False,-2.05269,147.767
pek,penc1239,Penchal,Austronesian,Papunesia,550.0,Bromham,pek,,0,2.0,91.56227243,65.57713509,4.870939255,False,-2.29891,147.81
ler,lenk1247,Lenkau,Austronesian,Papunesia,250.0,Bromham,ler,,0,2.0,3.845345664,592.3810434,5.161361456,False,-2.33367,147.742
ncn,naun1237,Nauna,Austronesian,Papunesia,100.0,Bromham,ncn,,0,0.0,2.115910439,59.19372177,4.918201923,False,-2.21213,148.201
aua,asum1237,Asumboa,Austronesian,Papunesia,10.0,Bromham,aua,,0,1.0,20.00220512,0.0,4.557117939,False,-11.2969,166.499
tbe,tani1255,Tanimbili,Austronesian,Papunesia,15.0,Bromham,tbe,,0,2.0,13.11615703,0.0,4.557117939,False,-11.2975,166.507
utp,amba1266,Amba (Solomon Islands),Austronesian,Papunesia,590.0,Bromham,utp,,0,1.0,33.53298422,0.0,4.557117939,False,-11.2958,166.498
nlz,nalo1235,Nalögo,Austronesian,Papunesia,,,,,0,3.0,244.2813076,471.6794891,5.882055283,True,-10.8,165.8
ntu,natu1246,Natügu,Austronesian,Papunesia,,,,,0,3.0,244.2813076,471.6794891,5.882055283,True,-10.6771,165.835
sax,saaa1241,Sa,Austronesian,Papunesia,2500.0,Bromham,sax,,0,2.0,141.1222295,235.062912,5.705207348,False,-15.9534,168.228
app,apma1240,Apma,Austronesian,Papunesia,7800.0,Bromham,app,,0,3.0,200.1068948,235.062912,5.705207348,False,-15.8559,168.189
mmg,nort2839,North Ambrym,Austronesian,Papunesia,5250.0,Bromham,mmg,,0,3.0,165.8219937,235.062912,5.705207348,False,-16.1741,168.14
tvk,sout2859,Southeast Ambrym,Austronesian,Papunesia,3700.0,Bromham,tvk,0.0,0,3.0,247.9097413,209.6103821,5.640644073,False,-16.2975,168.211
crc,lonw1238,Lonwolwol,Austronesian,Papunesia,1200.0,Bromham,crc,,0,4.0,107.7700918,235.062912,5.705207348,False,-16.2286,168.016
urr,leha1244,Lehalurup,Austronesian,Papunesia,250.0,Bromham,urr,,0,0.0,9.999842717,128.9803343,5.064426124,False,-13.542726,167.343342
mrm,merl1237,Merlav,Austronesian,Papunesia,1350.0,Bromham,mrm,,0,2.0,21.8603466,128.9803343,5.064426124,False,-14.450679,168.053527
mtt,mota1237,Mota,Austronesian,Papunesia,900.0,Bromham,mtt,,0,0.0,9.633871563,128.9803343,5.064426124,False,-13.835361,167.690924
wwo,weta1242,Dorig,Austronesian,Papunesia,200.0,Bromham,wwo,,0,2.0,15.42251055,128.9803343,5.064426124,False,-14.366666,167.545897
mlv,motl1237,Mwotlap,Austronesian,Papunesia,1800.0,Bromham,mlv,0.0,0,1.0,34.28348475,128.9803343,5.064426124,False,-13.655015,167.706277
tgs,nume1241,Nume,Austronesian,Papunesia,900.0,Bromham,tgs,,0,1.0,22.9958422,128.9803343,5.064426124,False,-14.230149,167.593474
msn,vure1239,Vurës,Austronesian,Papunesia,1100.0,Bromham,msn,,0,1.0,64.9876913,128.9803343,5.064426124,False,-13.905677,167.451412
tql,leha1243,Lehali,Austronesian,Papunesia,250.0,Bromham,tql,,0,0.0,12.77933042,128.9803343,5.064426124,False,-13.5043,167.332
mwo,cent2058,Central Maewo,Austronesian,Papunesia,1400.0,Bromham,mwo,,0,2.0,56.85709016,260.5154419,5.769770622,False,-15.0784,168.135
mrb,mari1426,Sunwadia,Austronesian,Papunesia,500.0,Bromham,mrb,,0,1.0,52.20707282,260.5154419,5.769770622,False,-14.970047,168.057941
btr,baet1237,Baetora,Austronesian,Papunesia,1330.0,Bromham,btr,,0,1.0,179.5228516,260.5154419,5.769770622,False,-15.2574,168.159
nnd,west2513,West Ambae,Austronesian,Papunesia,8700.0,Bromham,nnd,,0,1.0,210.6978459,205.1739502,5.786854148,False,-15.4281,167.807
omb,east2443,East Ambae,Austronesian,Papunesia,5000.0,Bromham,omb,0.0,0,1.0,206.5746138,213.4494527,5.840762774,False,-15.3523,167.89
dhv,dehu1237,Dehu,Austronesian,Papunesia,13000.0,Bromham,dhv,0.0,0,0.0,1163.035686,113.2210197,4.066400051,False,-20.8892,167.229
iai,iaai1238,Iaai,Austronesian,Papunesia,4080.0,Bromham,iai,0.0,0,1.0,105.5156308,157.069519,4.305012226,False,-20.6301,166.59
nen,neng1238,Nengone,Austronesian,Papunesia,8720.0,Bromham,nen,,0,0.0,682.6878071,42.99244022,3.789823651,False,-21.5305,167.964
iff,ifoo1237,Ifo,Austronesian,Papunesia,,,,,0,0.0,168.9096983,76.60994339,4.956988096,False,-18.7668,169.007
uur,urav1235,Ura (Vanuatu),Austronesian,Papunesia,6.0,Bromham,uur,0.0,0,1.0,140.4325716,76.60994339,4.956988096,False,-18.6747,169.084
erg,siee1239,Sie,Austronesian,Papunesia,1900.0,Bromham,erg,0.0,0,1.0,735.815889,76.60994339,4.956988096,False,-18.8181,169.166
wiv,mudu1242,Muduapa,Austronesian,Papunesia,8800.0,Bromham,wiv,0.0,0,0.0,60.84183029,429.6069221,5.477282286,False,-4.69751,149.489
bbn,unea1237,Uneapa,Austronesian,Papunesia,10000.0,Bromham,bbn,,0,0.0,32.69478579,429.6069221,5.477282286,False,-4.89383,149.141
tqp,tomo1244,Tomoip,Austronesian,Papunesia,700.0,Bromham,tqp,,0,4.0,735.7597381,609.057373,6.73592186,False,-5.30721,151.828
sij,numb1247,Numbami,Austronesian,Papunesia,200.0,Bromham,sij,,0,2.0,40.57956189,1599.836121,7.183611393,False,-7.52806,147.298
llx,laua1243,Lauan,Austronesian,Papunesia,16000.0,Bromham,llx,,0,0.0,361.2213601,31.18080711,2.584084988,False,-18.2131,-178.785
mah,mars1254,Marshallese,Austronesian,Papunesia,43900.0,Bromham,mah,,1,0.0,211.091238,0.206635464,3.790345192,False,8.72,167.73
brr,bira1254,Birao,Austronesian,Papunesia,5900.0,Bromham,brr,,0,5.0,462.9489901,245.5207443,5.292528152,False,-9.73716,160.52
tlr,tali1259,Talise,Austronesian,Papunesia,12500.0,Bromham,tlr,,0,3.0,1092.672741,245.5207443,5.292528152,False,-9.76764,160.231
apb,saaa1240,Sa'a,Austronesian,Papunesia,11500.0,Bromham,apb,0.0,0,2.0,525.3955356,447.8432312,5.977975368,False,-9.60258,161.467
gei,gebe1237,Gebe,Austronesian,Papunesia,2650.0,Bromham,gei,,0,0.0,242.0699037,294.4333801,5.47272253,False,-0.07877,129.424
mky,east2440,East Makian,Austronesian,Papunesia,20000.0,Bromham,mky,0.0,0,1.0,157.5275375,269.3351364,5.764955997,False,0.07337,127.423
gzn,gane1237,Gane,Austronesian,Papunesia,2900.0,Bromham,gzn,,0,4.0,1559.155043,269.3351364,5.764955997,False,-0.42618,127.976
wbb,wabo1240,Wabo,Austronesian,Papunesia,1500.0,Bromham,wbb,,0,2.0,308.0422873,472.1653748,5.660175562,False,-1.77297,136.757
kjr,kuru1305,Kurudu,Austronesian,Papunesia,2180.0,Bromham,kjr,,0,0.0,26.27841395,472.1653748,5.660175562,False,-1.8444,137.018
jau,yaur1239,Yaur,Austronesian,Papunesia,350.0,Bromham,jau,,0,3.0,626.2071394,971.5572357,6.27539587,False,-3.32519,134.879
ire,ires1239,Yerisiam,Austronesian,Papunesia,70.0,Bromham,ire,,0,4.0,864.7531605,1147.51413,6.525902271,False,-3.62803,135.025
bhw,biak1248,Biak,Austronesian,Papunesia,30000.0,Bromham,bhw,0.0,0,7.0,4000.23002,220.3078003,5.527395725,False,-0.9523,135.879
rnn,roon1237,Roon,Austronesian,Papunesia,1100.0,Bromham,rnn,,0,0.0,65.2670748,777.1098429,6.014175733,False,-2.43005,134.556
myl,moma1242,Moma,Austronesian,Papunesia,5500.0,Bromham,myl,,0,4.0,813.5666393,1090.835907,6.786196232,False,-1.4313,120.009
klw,lind1248,Tado-Lindu,Austronesian,Papunesia,2400.0,Bromham,klw,,0,2.0,152.0614935,1090.835907,6.786196232,False,-1.35748,120.063
unz,unde1235,Unde Kaili,Austronesian,Papunesia,25000.0,Bromham,unz,,0,4.0,583.3924792,1090.835907,6.786196232,False,-0.85876,119.673
kzf,daak1235,Da'a Kaili,Austronesian,Papunesia,55000.0,Bromham,kzf,0.0,0,5.0,2042.253402,1090.835907,6.786196232,False,-1.21051,119.527
brs,bara1371,Baras,Austronesian,Papunesia,250.0,Bromham,brs,,0,1.0,31.13603931,1543.032959,6.963805676,False,-1.5667,119.342
lew,ledo1238,Ledo Kaili,Austronesian,Papunesia,350000.0,Bromham,lew,,1,12.0,4899.494227,1090.835907,6.786196232,False,-1.03033,120.132
kly,kala1394,Kalao,Austronesian,Papunesia,500.0,Bromham,kly,,0,1.0,57.52240473,115.5117416,4.201598287,False,-7.31213,120.995
lji,laiy1246,Laiyolo,Austronesian,Papunesia,800.0,Bromham,lji,,0,1.0,36.75105752,218.613163,5.060169399,False,-6.45512,120.483
kgx,kama1364,Kamaru,Austronesian,Papunesia,3500.0,Bromham,kgx,,0,1.0,29.39832147,164.5274963,5.261827946,False,-5.15696,123.045
wlo,woli1241,Wolio,Austronesian,Papunesia,65000.0,Bromham,wlo,0.0,0,4.0,527.8291955,152.5405731,5.39710927,False,-5.33,122.67
tlv,tali1262,Taliabu,Austronesian,Papunesia,4520.0,Bromham,tlv,,0,0.0,1498.843697,276.0440369,5.90691185,False,-1.79516,124.869
kzd,kada1286,Kadai,Austronesian,Papunesia,350.0,Bromham,kzd,,0,0.0,195.279461,276.0440369,5.90691185,False,-1.74547,125.142
bzb,andi1257,Andio,Austronesian,Papunesia,1700.0,Bromham,bzb,,0,1.0,40.68187111,593.2028809,6.31714797,False,-0.88368,123.174
bgz,bang1368,Banggai,Austronesian,Papunesia,125000.0,Bromham,bgz,0.0,0,0.0,3025.952422,593.2028809,6.31714797,False,-1.58305,123.171
