lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form,Fold,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
পরা,পরলো,V;2;PST;POL,6e-06,0.0005562608695652,p ɔ ɹ l o,2,V,2,PST,POL,,,,,,
পরা,পরেছি,V;1;PRS;PRF,1.5e-05,0.0005562608695652,p ɔ ɹ e t͡ʃʰ i,2,V,1,PRS,PRF,,,,,,
পরা,পরছিলো,V;2;PST;PROG;POL,0.0,0.0005562608695652,p ɔ ɹ t͡ʃʰ i l o,3,V,2,PST,PROG,POL,,,,,
পরা,পরছিস,V;2;PRS;PROG;LGSPEC1,0.0,0.0005562608695652,p ɔ ɹ t͡ʃʰ i ʃ,0,V,2,PRS,PROG,LGSPEC1,,,,,
পরা,পরলে,V;3;PST;INFM,9.2e-05,0.0005562608695652,p ɔ ɹ l e,0,V,3,PST,INFM,,,,,,
পরা,পরতে,V;V.PTCP;PROG,0.000285,0.0005562608695652,p ɔ ɹ t̪ e,3,V,V.PTCP,PROG,,,,,,,
পরা,পরলেন,V;3;PST;POL,6e-06,0.0005562608695652,p ɔ ɹ l e n,0,V,3,PST,POL,,,,,,
পরা,পরেছেন,V;3;PRS;PRF;POL,1.3e-05,0.0005562608695652,p ɔ ɹ e t͡ʃʰ e n,0,V,3,PRS,PRF,POL,,,,,
পরা,পরবে,V;3;FUT;INFM,6.3e-05,0.0005562608695652,p ɔ ɹ b e,2,V,3,FUT,INFM,,,,,,
পরা,পরলি,V;2;PST;LGSPEC1,0.0,0.0005562608695652,p ɔ ɹ l i,3,V,2,PST,LGSPEC1,,,,,,
পরা,পরে,V;V.PTCP;HAB,0.007965,0.0005562608695652,p ɔ ɹ e,1,V,V.PTCP,HAB,,,,,,,
পরা,পরেছিলেন,V;3;PST;PRF;POL,6e-06,0.0005562608695652,p ɔ ɹ e t͡ʃʰ i l e n,2,V,3,PST,PRF,POL,,,,,
পরা,পরো,V;3;PRS;INFM,9e-06,0.0005562608695652,p ɔ ɹ o,0,V,3,PRS,INFM,,,,,,
পরা,পরেছিস,V;2;PRS;PRF;LGSPEC1,0.0,0.0005562608695652,p ɔ ɹ e t͡ʃʰ i ʃ,0,V,2,PRS,PRF,LGSPEC1,,,,,
পরা,পরছিলেন,V;3;PST;PROG;POL,1e-06,0.0005562608695652,p ɔ ɹ t͡ʃʰ i l e n,4,V,3,PST,PROG,POL,,,,,
পরা,পরছেন,V;3;PRS;PROG;POL,8e-06,0.0005562608695652,p ɔ ɹ t͡ʃʰ e n,4,V,3,PRS,PROG,POL,,,,,
পরা,পরতে,V;3;PST;HAB;INFM,0.000285,0.0005562608695652,p ɔ ɹ t̪ e,2,V,3,PST,HAB,INFM,,,,,
পরা,পরবি,V;2;FUT;LGSPEC1,0.0,0.0005562608695652,p ɔ ɹ b i,1,V,2,FUT,LGSPEC1,,,,,,
পরা,পরছিলাম,V;1;PST;PROG,0.0,0.0005562608695652,p ɔ ɹ t͡ʃʰ i l a m,4,V,1,PST,PROG,,,,,,
পরা,পরছি,V;1;PRS;PROG,8e-06,0.0005562608695652,p ɔ ɹ o t͡ʃʰ i,0,V,1,PRS,PROG,,,,,,
পরা,পরেছিলো,V;2;PST;PRF;POL,0.0,0.0005562608695652,p ɔ ɹ e t͡ʃʰ i l o,4,V,2,PST,PRF,POL,,,,,
পরা,পরে,V;V.PTCP;PRF,0.007965,0.0005562608695652,p ɔ ɹ e,2,V,V.PTCP,PRF,,,,,,,
পরা,পরতে,V;V.NFIN,0.000285,0.0005562608695652,p ɔ ɹ t̪ e,3,V,V.NFIN,,,,,,,,
পরা,পরেছো,V;3;PRS;PRF;INFM,0.0,0.0005562608695652,p ɔ ɹ e t͡ʃʰ o,2,V,3,PRS,PRF,INFM,,,,,
পরা,পরবেন,V;3;FUT;POL,4.8e-05,0.0005562608695652,p ɔ ɹ b e n,2,V,3,FUT,POL,,,,,,
পরা,পরছে,V;2;PRS;PROG;POL,1.6e-05,0.0005562608695652,p ɔ ɹ o t͡ʃʰ e,4,V,2,PRS,PROG,POL,,,,,
পরা,পরে,V;2;PRS;POL,0.007965,0.0005562608695652,p ɔ ɹ e,3,V,2,PRS,POL,,,,,,
পরা,পরতো,V;2;PST;HAB;POL,6e-06,0.0005562608695652,p ɔ ɹ o t̪ o,3,V,2,PST,HAB,POL,,,,,
পরা,পরেছিলে,V;3;PST;PRF;INFM,0.0,0.0005562608695652,p ɔ ɹ e t͡ʃʰ i l e,0,V,3,PST,PRF,INFM,,,,,
পরা,পরবো,V;1;FUT,3e-06,0.0005562608695652,p ɔ ɹ b o,3,V,1,FUT,,,,,,,
পরা,পরতিস,V;2;PST;HAB;LGSPEC1,0.0,0.0005562608695652,p ɔ ɹ o t̪ i ʃ,2,V,2,PST,HAB,LGSPEC1,,,,,
পরা,পরি,V;1;PRS,4.2e-05,0.0005562608695652,p ɔ ɹ i,3,V,1,PRS,,,,,,,
পরা,পরছিলি,V;2;PST;PROG;LGSPEC1,0.0,0.0005562608695652,p ɔ ɹ t͡ʃʰ i l i,1,V,2,PST,PROG,LGSPEC1,,,,,
পরা,পরবে,V;2;FUT;POL,6.3e-05,0.0005562608695652,p ɔ ɹ b e,3,V,2,FUT,POL,,,,,,
পরা,পরা,V;V.MSDR,0.000212,0.0005562608695652,p ɔ ɹ a,1,V,V.MSDR,,,,,,,,
পরা,পরলাম,V;1;PST,1.1e-05,0.0005562608695652,p ɔ ɹ l a m,1,V,1,PST,,,,,,,
পরা,পরেন,V;3;PRS;POL,6.8e-05,0.0005562608695652,p ɔ ɹ e n,4,V,3,PRS,POL,,,,,,
পরা,পরতেন,V;3;PST;HAB;POL,1.3e-05,0.0005562608695652,p ɔ ɹ t̪ e n,2,V,3,PST,HAB,POL,,,,,
পরা,পরেছিলি,V;2;PST;PRF;LGSPEC1,0.0,0.0005562608695652,p ɔ ɹ e t͡ʃʰ i l i,2,V,2,PST,PRF,LGSPEC1,,,,,
পরা,পরলে,V;V.PTCP;COND,9.2e-05,0.0005562608695652,p ɔ ɹ l e,1,V,V.PTCP,COND,,,,,,,
পরা,পরছো,V;3;PRS;PROG;INFM,0.0,0.0005562608695652,p ɔ ɹ o t͡ʃʰ o,0,V,3,PRS,PROG,INFM,,,,,
পরা,পরতাম,V;1;PST;HAB,1e-06,0.0005562608695652,p ɔ ɹ t̪ a m,0,V,1,PST,HAB,,,,,,
পরা,পরেছে,V;2;PRS;PRF;POL,2.8e-05,0.0005562608695652,p ɔ ɹ e t͡ʃʰ e,4,V,2,PRS,PRF,POL,,,,,
